,Year,Team1,Team2,Team1Win?,Team1Wins,Team1SRS,Team1ORtg,Team1TS%,Team1eFG%,Team1OppORtg,Team1OppTS%,Team1OppeFG%,Team1Pace,Team1TRB%,Team1AST%,Team1TOV%,Team1Steal%,Team1Block%,Team2Wins,Team2SRS,Team2ORtg,Team2TS%,Team2eFG%,Team2OppORtg,Team2OppTS%,Team2OppeFG%,Team2Pace,Team2TRB%,Team2AST%,Team2TOV%,Team2Steal%,Team2Block%
0,2010,1293,1143,0,31,8.69,112.4,0.586,0.556,88.8,0.477,0.436,68,54.7,56.9,18.3,14.2,14.2,24,17.29,113.4,0.571,0.533,100.1,0.517,0.483,67.9,52.5,51.8,15.1,8.3,6.3
1,2010,1314,1198,1,20,10.14,102.2,0.511,0.48,98.6,0.499,0.471,72.4,53.4,57,17.2,9.3,13.5,7,-12.81,97.8,0.499,0.462,111,0.586,0.558,69,46.9,50.5,16.6,11.4,5.3
2,2010,1326,1108,1,29,19.49,113,0.586,0.561,93.8,0.501,0.471,65.1,51.2,55.4,15,10.8,12.2,2,-30.36,80.2,0.456,0.418,108.5,0.548,0.523,75.3,44.5,41.3,23.7,9.1,7.4
3,2010,1107,1393,0,7,-11.94,94.8,0.503,0.465,104.4,0.53,0.497,65.7,52,53.5,20.6,8.8,8.2,30,21.72,114,0.596,0.576,93.5,0.482,0.459,71,53,64.6,18.3,13.5,17.2
4,2010,1178,1143,0,20,1.35,100.7,0.534,0.5,95.3,0.51,0.469,68.4,52.9,56,19.4,10.9,10.9,24,17.29,113.4,0.571,0.533,100.1,0.517,0.483,67.9,52.5,51.8,15.1,8.3,6.3
5,2010,1352,1393,0,23,-3.71,101,0.527,0.489,97.1,0.522,0.469,67.6,51.1,53.1,18.6,11.2,7.2,30,21.72,114,0.596,0.576,93.5,0.482,0.459,71,53,64.6,18.3,13.5,17.2
6,2010,1209,1301,0,12,-3.74,97.8,0.49,0.456,100,0.522,0.478,63,50.3,48.1,17.5,11.3,9.7,20,8.47,101.1,0.517,0.483,97.9,0.497,0.463,65.7,49.6,56.4,16.9,9.9,10.5
7,2010,1326,1241,1,29,19.49,113,0.586,0.561,93.8,0.501,0.471,65.1,51.2,55.4,15,10.8,12.2,13,-4.96,98.7,0.524,0.492,103.1,0.507,0.474,67.8,49.1,58,18.5,9.1,10.1
8,2010,1111,1423,1,24,1.8,110,0.581,0.545,102.1,0.514,0.486,67.5,55.7,46.9,18.6,8,7.7,9,-4.35,96.1,0.504,0.474,103.7,0.511,0.473,68.9,49.1,54.4,19.5,7.4,11.1
9,2010,1113,1442,1,22,13.8,107.4,0.567,0.534,94.5,0.493,0.456,62.1,49.9,62,16.8,10.5,7.2,13,-11.84,94.2,0.501,0.46,95.9,0.492,0.446,62.4,48.4,52.1,17.8,10.5,11.7
10,2010,1108,1116,0,2,-30.36,80.2,0.456,0.418,108.5,0.548,0.523,75.3,44.5,41.3,23.7,9.1,7.4,14,5.87,103.6,0.536,0.5,102.5,0.531,0.493,71.3,48.2,53.1,16.4,10,10.1
11,2010,1120,1310,1,15,5.49,105.7,0.541,0.515,103.6,0.553,0.518,71,49.6,49.3,16.3,11,7.5,18,0.32,102.7,0.508,0.472,98.7,0.498,0.464,69.2,48,54.2,14.8,11.6,10.6
12,2010,1123,1434,1,15,-4.85,94.3,0.502,0.453,97.1,0.49,0.455,62.7,51,53.8,19.4,7.9,8.4,15,-2.9,107.5,0.567,0.536,109,0.56,0.519,68.2,49.1,58.2,17.5,10.4,6.2
13,2010,1313,1124,0,11,-11.89,95.7,0.525,0.498,102.1,0.516,0.479,72.6,50.1,44,21.2,11.3,8,28,17.97,113.8,0.58,0.549,97,0.478,0.44,67.2,54.4,51.2,17.1,9.7,17.4
14,2010,1340,1125,0,13,-3.49,111.6,0.576,0.546,113.4,0.578,0.545,69.1,47.9,47.7,16.6,9,9.8,19,1.3,103.5,0.553,0.521,97,0.495,0.457,70.1,51.2,58.3,20,10.1,7.1
15,2010,1129,1258,1,15,-1.11,103,0.535,0.51,101.3,0.535,0.509,71.3,50.8,57.6,17.1,10.6,8.9,18,-1.47,106.9,0.541,0.506,107.1,0.542,0.498,70.4,49.6,51.9,15.6,10.6,10.1
16,2010,1130,1171,1,15,9.58,105.1,0.524,0.491,100.3,0.508,0.478,65.8,53.5,58.3,16.2,7.6,8.6,5,-18.46,84.7,0.446,0.415,102.7,0.535,0.496,63.8,45.8,49.7,18.1,10,6.3
17,2010,1383,1135,0,11,-13.83,91.2,0.49,0.462,98,0.536,0.498,65.2,48,56.4,20.1,12.1,9.3,11,-10.68,99.8,0.547,0.507,107.4,0.519,0.497,66.5,46.1,58.7,17.5,5.8,8.8
18,2010,1133,1140,0,16,3.74,103.1,0.54,0.496,103,0.517,0.474,64.9,48.5,51.3,16.2,9.6,8.2,30,18.82,116.1,0.596,0.552,92.9,0.499,0.462,71,53,55.3,14.2,11.9,9.1
19,2010,1421,1150,0,15,-14.36,99,0.524,0.489,103.5,0.518,0.487,73.9,50.8,61.7,19.2,10,13.1,19,3.96,105,0.524,0.474,101.8,0.506,0.471,69.4,51.7,54.1,16,8.4,10.5
20,2010,1158,1157,0,22,-0.81,108.2,0.559,0.537,105.8,0.518,0.494,69,43.9,46.8,14.4,8.4,10.6,28,-0.78,109.5,0.544,0.523,89.1,0.461,0.428,67.4,53.8,56,16,11.2,11.7
21,2010,1115,1160,0,18,-8.29,93.1,0.495,0.447,94,0.505,0.455,67.4,54.2,58.1,20.6,9.8,10.2,15,7.01,107,0.584,0.536,106.3,0.555,0.516,69.2,44.2,57.3,17.1,11.8,6
22,2010,1161,1413,1,16,1.35,98.7,0.527,0.484,99.3,0.535,0.495,66.6,51.8,48.3,19.4,10.8,7.5,14,-6.23,99.7,0.544,0.504,101.4,0.554,0.523,69.4,48.6,59.4,19.1,11.1,8
23,2010,1456,1163,0,22,2.82,107.5,0.543,0.51,103.4,0.506,0.474,61.4,49.6,63,14.9,8.6,7.3,18,12.5,102.5,0.524,0.482,97.6,0.475,0.441,68.3,52.6,54.8,18.2,9.5,17.6
24,2010,1422,1181,0,8,-8.24,93.7,0.47,0.427,106.1,0.555,0.528,67.7,50.7,41.1,17.5,8.9,8.9,35,25.21,115.7,0.549,0.505,91.7,0.477,0.437,66.5,54.4,52.9,13.3,10,9.8
25,2010,1311,1182,0,11,-10.99,100.1,0.538,0.502,107.5,0.609,0.581,64.7,46.2,60.6,17.9,13.1,3.3,16,0.79,97.7,0.497,0.471,99.1,0.51,0.478,69.6,47.5,53.8,16.8,11.2,11.1
26,2010,1148,1193,0,12,-14.68,94.8,0.493,0.451,100.1,0.528,0.504,63.7,48.7,51,17.8,10.3,7.8,23,0.4,104.4,0.518,0.483,98.9,0.517,0.483,67,50.7,55,16.3,10.9,13.3
27,2010,1206,1251,1,17,-0.44,100.4,0.518,0.487,101.1,0.512,0.479,66.3,49.2,49.9,17.5,9.8,10.2,15,-13.22,98.4,0.53,0.491,99.3,0.508,0.484,68.6,51.4,52.7,19.7,9.6,8.1
28,2010,1408,1207,0,8,-3.2,93.9,0.492,0.449,101,0.539,0.499,65.9,45.8,51.6,17.9,11.6,7.6,23,17.03,110.4,0.586,0.557,99.2,0.513,0.474,66.6,51.8,57.9,18.1,10.5,12.9
29,2010,1208,1309,1,14,7.33,103.2,0.541,0.501,104.3,0.523,0.484,66.2,53.3,56,19.3,9.1,11.9,8,-13.5,90.3,0.504,0.46,100.9,0.541,0.504,65.4,49.2,54.1,21.3,9.6,5.8
30,2010,1217,1221,1,21,1.59,107.5,0.586,0.54,96.6,0.516,0.472,67.7,51.7,61.7,19.6,11.4,12.6,9,-8.03,102.9,0.531,0.493,106.5,0.53,0.498,66.8,53,53.7,18.1,6.4,7.4
31,2010,1381,1218,0,7,-17.42,92.8,0.527,0.484,105.9,0.526,0.486,68.3,50.8,51.5,23,8.2,10.1,10,-4.91,101.7,0.515,0.477,108.8,0.543,0.509,67,52.5,58.7,17.8,6.6,5.3
32,2010,1428,1225,0,14,4.29,99.5,0.534,0.485,99.5,0.497,0.447,66.2,49.3,52.2,18,8.3,14.2,15,-0.19,104.5,0.548,0.521,103.6,0.532,0.501,67.9,50.9,58,17.7,8.8,7.9
33,2010,1231,1224,1,10,0.76,97.1,0.508,0.464,104.7,0.535,0.498,67.7,49.7,53.3,19.4,10,9.2,7,-19.49,88.3,0.459,0.427,106.4,0.54,0.514,65.6,48.1,48.2,18.9,6.6,5.3
34,2010,1233,1131,1,21,2.31,99,0.522,0.488,92.8,0.498,0.451,66.5,48.3,60.1,17.6,11.9,8.4,21,0.57,102.3,0.526,0.484,96.9,0.508,0.468,70.1,49.4,47.8,16.5,10.4,9
35,2010,1226,1235,0,7,-10.29,102.8,0.53,0.497,116.1,0.573,0.54,63.3,49.9,46,17.4,8.9,8.2,15,9.6,103.1,0.528,0.499,99.6,0.504,0.472,69.3,51.4,55,17.2,7.4,11.9
36,2010,1220,1242,0,19,1.65,101.1,0.498,0.452,97.5,0.5,0.439,69.2,52.5,54.2,16.2,10.7,16.5,33,24.68,116.8,0.582,0.551,91.9,0.47,0.432,69.4,54.6,59,15.7,12,16
37,2010,1260,1243,0,14,-4.85,100.7,0.518,0.482,104.4,0.524,0.492,64.1,51.9,58.4,18.1,7.7,9,29,19.88,110.5,0.545,0.508,96.8,0.519,0.47,71.2,52.9,55.1,16.4,10.3,13.2
38,2010,1245,1359,1,24,5.28,103.7,0.517,0.481,96.3,0.522,0.483,67.1,50.5,52.1,15,12.4,7.7,11,-7.32,99.9,0.566,0.545,105,0.521,0.5,57.8,46.9,65.3,20.2,9,6
39,2010,1287,1246,0,24,3.51,107.4,0.545,0.514,95,0.533,0.494,66.2,55.8,57,18.5,13.5,10.8,35,21.13,112.1,0.56,0.53,91.8,0.467,0.431,70,55.4,53.8,16.7,10.4,17.8
40,2010,1447,1248,0,5,-18.05,89.6,0.494,0.473,103.2,0.524,0.489,67.6,46.6,56,21.8,9.5,9.2,19,-7.96,106.7,0.572,0.529,105.1,0.545,0.523,67.7,46.6,62.2,17.2,10.8,7.5
41,2010,1436,1259,0,25,-1.26,103.6,0.528,0.482,95.6,0.489,0.45,67.5,51.9,51.2,17.3,10.1,10.2,13,-5.23,97.6,0.513,0.472,99.3,0.498,0.444,66.3,50,51,19.2,9.7,11.2
42,2010,1419,1261,0,12,-10.75,100,0.532,0.481,105.5,0.56,0.526,68,51.3,43.6,20.3,10.2,8.2,11,0.97,95.6,0.479,0.44,103.4,0.522,0.491,64,50.7,51.3,16.6,9.5,10.7
43,2010,1200,1263,0,2,-13.18,88.2,0.458,0.419,109.1,0.541,0.505,72.6,47.7,42.3,18.2,7.7,9.5,19,-6.53,96.8,0.509,0.469,93.4,0.486,0.454,66.2,50.5,61.1,18.5,11,9.1
44,2010,1266,1147,1,22,15.17,111.9,0.564,0.528,99,0.524,0.497,64.4,49,59.9,13.8,12.1,5.5,8,-17.16,97.3,0.529,0.485,109.8,0.587,0.548,71.9,43.9,56,18.5,10.9,5.8
45,2010,1149,1268,0,13,-13.25,100,0.509,0.484,98.4,0.524,0.495,67.6,50.6,43.2,18,13,10.7,24,17.75,112.2,0.552,0.518,96.2,0.482,0.448,70.2,50.4,56.4,13.9,10.9,11
46,2010,1238,1272,0,19,-13.21,94.3,0.487,0.447,97.2,0.498,0.456,66.7,51.7,52.6,18.4,8.8,10.4,24,11.74,112.5,0.57,0.536,97.9,0.51,0.465,67.1,48.3,54.8,14.8,12.1,13.8
47,2010,1273,1137,1,16,-5.05,107.3,0.559,0.521,105.8,0.529,0.495,70.7,51.6,53.3,17.8,8.5,6.2,14,-7.94,100.8,0.51,0.467,102.3,0.533,0.493,65.4,49.4,51.6,15,7.4,9.9
48,2010,1278,1399,1,21,15.64,109,0.56,0.531,96.5,0.498,0.465,65.7,51.2,63.9,15.9,11.7,16.4,15,-9.58,106,0.554,0.521,110.4,0.562,0.526,68.2,49.9,50.1,18.3,9,6.3
49,2010,1279,1114,1,24,13.46,109.8,0.542,0.517,99,0.503,0.464,70.4,51.1,49.3,14.3,10.4,13.1,8,-10.06,99.9,0.529,0.484,108,0.544,0.508,67.2,49,54.2,17.3,6.9,7.7
50,2010,1284,1198,1,12,-11.2,95.2,0.5,0.462,99.5,0.534,0.502,66.9,48.3,59.4,18.4,10.9,6.6,7,-12.81,97.8,0.499,0.462,111,0.586,0.558,69,46.9,50.5,16.6,11.4,5.3
51,2010,1107,1288,0,7,-11.94,94.8,0.503,0.465,104.4,0.53,0.497,65.7,52,53.5,20.6,8.8,8.2,27,-1.18,107.2,0.52,0.475,99.3,0.507,0.465,70,52.4,48,15.6,9.3,9.6
52,2010,1270,1294,0,10,-11.82,101.4,0.51,0.486,105.1,0.549,0.5,66.8,50.5,47.2,17.7,11,10.7,25,2.06,108.5,0.566,0.517,98.5,0.537,0.497,67.5,50.6,49.1,16.3,10.7,7
53,2010,1176,1320,0,19,-2.76,107.7,0.61,0.579,104.2,0.559,0.507,60.3,44.6,67.5,18.1,9.4,9.2,30,12.03,106.6,0.541,0.496,92.8,0.498,0.466,59.4,52,49.1,15.4,9.5,6.4
54,2010,1321,1296,1,20,8.32,108.8,0.554,0.521,103.6,0.529,0.483,62.8,48.3,71.6,15,10.2,12.2,10,-7.64,96.2,0.488,0.452,102.9,0.537,0.497,69.3,51.5,57.2,18.2,9.4,9.4
55,2010,1337,1334,0,7,-8.44,97.6,0.493,0.449,110.5,0.56,0.528,66.8,50.3,49.4,16.9,7.3,7.2,23,2.9,105.1,0.528,0.501,97.6,0.503,0.466,62,51.9,53,15.3,8.8,7.3
56,2010,1336,1335,1,11,6.58,103.5,0.533,0.499,103.1,0.532,0.505,62.5,52.4,57.7,16,7.4,5.3,6,-13.31,95.5,0.522,0.477,110.8,0.578,0.544,64.9,48.2,63.1,20,8,5.6
57,2010,1459,1338,0,26,4.43,105.4,0.531,0.495,93.4,0.498,0.463,65.1,52.2,56.8,15.5,10.6,5.8,25,14.3,107.5,0.536,0.497,96.6,0.481,0.446,62.6,53.6,66.3,16.2,8.1,10.4
58,2010,1169,1345,0,11,-5.81,97.1,0.511,0.463,102.6,0.538,0.489,72.6,50.5,47.7,20.1,10.2,8.8,29,17.52,105.3,0.533,0.491,91.5,0.494,0.448,66.7,48.9,56.9,14.1,10.6,12.2
59,2010,1216,1346,0,8,-13.77,95.6,0.492,0.468,107.5,0.558,0.518,64.9,45.1,50.9,15.5,9.3,8.5,23,-3.5,106.2,0.526,0.482,96.5,0.506,0.471,68.9,55.9,51.4,16.5,10.2,5.7
60,2010,1298,1347,0,13,-12.01,97.8,0.521,0.479,103.4,0.548,0.506,72,45.6,55.6,17.8,9.6,7.2,19,-6.42,99.6,0.504,0.481,95.5,0.485,0.454,71,54.6,61.4,17.5,8.2,9.2
61,2010,1349,1170,1,8,-5.72,94.5,0.486,0.451,103,0.549,0.51,67.4,50,52.5,17.6,10.9,8.1,9,-12.41,94.1,0.507,0.465,104,0.548,0.505,68.6,46.9,57.4,17.8,10.5,7.9
62,2010,1250,1350,0,22,-3.33,106.5,0.555,0.514,100.2,0.52,0.487,70,50.9,58.8,16.1,8.7,6.7,26,10.03,104.5,0.541,0.511,94.5,0.486,0.442,65,46.2,50.9,14.6,12.4,11.9
63,2010,1351,1280,1,17,-3.71,99.5,0.515,0.481,102.4,0.534,0.5,69.1,47.9,50.7,16,9.8,8.1,24,12.55,106.3,0.544,0.514,94.7,0.468,0.44,67.8,51.3,51.5,15.5,8.5,17.8
64,2010,1355,1461,1,14,-6.05,107,0.537,0.484,105.6,0.547,0.515,68.8,50.1,48.7,14.9,8,5.4,10,-4.58,97.6,0.525,0.48,102.9,0.545,0.51,72.1,48.1,47.1,18.7,10.7,11.4
