,count,mean,std,min,25%,50%,75%,max
Length,110.0,9.298181818181817,3.437274945244804,2.5,6.5,9.0,11.5,20.5
Diameter,104.0,18.558653846153845,3.882012554236166,7.8,16.075000000000003,18.05,21.325,30.0
Taper,93.0,27.43333333333333,15.055132978008105,2.3,17.3,25.8,37.4,91.5
TI,93.0,1.6015053763440854,1.0061106195519103,0.23,0.99,1.43,1.89,8.68
Mass,109.0,12.455229357798165,8.848789370673117,0.94,5.66,9.75,17.61,53.7
d13C,108.0,-26.86018518518518,2.1755519147127345,-29.85,-28.0825,-27.47,-26.445,-19.67
d15N,108.0,7.436481481481483,3.016453731089438,1.84,5.62,6.885,8.305,18.0
CN,108.0,8.398796296296299,3.662250397884965,4.5,6.2,7.25,8.65,23.6
Year,110.0,2011.9363636363637,0.7074605409591255,2011.0,2011.0,2012.0,2012.0,2013.0
Age,110.0,3.3454545454545452,1.3709727587572185,1.0,3.0,3.0,5.0,5.0
Number,110.0,2.618181818181818,1.4270121360253516,1.0,2.0,2.0,3.0,7.0
Ropey,110.0,0.5636363636363636,0.49820361202276237,0.0,0.0,1.0,1.0,1.0
Segmented,110.0,0.5636363636363636,0.4982036120227624,0.0,0.0,1.0,1.0,1.0
Flat,110.0,0.05454545454545454,0.2281301590639917,0.0,0.0,0.0,0.0,1.0
Scrape,110.0,0.045454545454545456,0.20925221322752408,0.0,0.0,0.0,0.0,1.0
