trait,species_a,species_b,statistic,p_value,median_a,median_b,p_adj_bh
Mass,Bobcat,Coyote,419.0,0.037137441458546486,11.235,16.75,0.050641965625290664
Mass,Bobcat,GrayFox,737.5,6.936627760257805e-06,11.235,4.37,0.00010404941640386708
Mass,Coyote,GrayFox,357.0,5.44680527113211e-05,16.75,4.37,0.0002787493078527218
CN,Bobcat,Coyote,272.5,0.00015718993422510913,6.6,7.7,0.0004207827361280259
CN,Bobcat,GrayFox,168.5,0.00022243565368421526,6.6,8.1,0.0004207827361280259
CN,Coyote,GrayFox,182.0,0.5690531114889671,7.7,8.1,0.5690531114889671
d15N,Bobcat,Coyote,250.5,5.574986157054436e-05,6.5649999999999995,8.875,0.0002787493078527218
d15N,Bobcat,GrayFox,533.5,0.1196511314082153,6.5649999999999995,5.87,0.13805899777870995
d15N,Coyote,GrayFox,351.0,0.00010569204529231306,8.875,5.87,0.000396345169846174
Diameter,Bobcat,Coyote,430.5,0.05096476450693212,18.0,21.1,0.06370595563366514
Diameter,Bobcat,GrayFox,683.0,0.00020641427894401112,18.0,15.8,0.0004207827361280259
Diameter,Coyote,GrayFox,338.0,0.0004100119909051586,21.1,15.8,0.0006833533181752644
d13C,Bobcat,Coyote,280.0,0.00022441745926828047,-27.880000000000003,-26.064999999999998,0.0004207827361280259
d13C,Bobcat,GrayFox,377.0,0.49363043574142074,-27.880000000000003,-27.57,0.5288897525800936
d13C,Coyote,GrayFox,303.0,0.009141943215290346,-26.064999999999998,-27.57,0.013712914822935518
