Price,Year,Mileage,Color,City(La)
20995,2016,33220,WHITE,LA
18980,2017,44492,WHITE,LA
17995,2017,60221,BLUE,LA
17992,2017,50671,BLUE,LA
16991,2017,54061,BLUE,LA
16991,2017,48914,WHITE,LA
16991,2017,38527,WHITE,LA
16980,2017,55196,GOLD,LA
16889,2017,23089,GOLD,LA
15995,2017,50092,SILVER,LA
15995,2015,76230,GOLD,LA
15995,2017,57004,BLUE,LA
15991,2017,48591,WHITE,LA
15980,2016,61074,SILVER,LA
15888,2016,51979,BLUE,LA
15495,2017,51706,GRAY,LA
15291,2017,76688,BLACK,LA
14995,2015,35200,BLUE,LA
14991,2017,16154,BLACK,LA
14980,2017,79118,GRAY,LA
14280,2016,50880,GREEN,LA
14000,2016,63000,BLACK,LA
13993,2017,70422,BLUE,LA
13993,2016,69791,SILVER,LA
13991,2015,57889,SILVER,LA
13888,2017,49557,GRAY,LA
13580,2015,51542,GREEN,LA
13180,2016,58800,BLUE,LA
12995,2016,68250,SILVER,LA
12994,2016,75925,GOLD,LA
12795,2016,94082,SILVER,LA
12450,2015,80737,GOLD,LA
11894,2016,75061,SILVER,LA
10991,2015,118031,GREEN,LA
10987,2015,113888,GRAY,LA
10680,2016,148463,BLUE,LA
9999,2017,70753,BLACK,LA
9998,2017,53534,GOLD,LA
9993,2014,113931,GOLD,LA
9988,2015,89431,RED,LA
8999,2014,61407,GRAY,LA
8995,2016,60799,SILVER,LA
8900,2016,99985,SILVER,LA
8900,2016,81594,SILVER,LA
8900,2016,116540,RED,LA
7995,2014,61300,WHITE,LA
6990,2014,89618,BLACK,LA
18995,2017,59306,WHITE,LA
17998,2017,41037,SILVER,LA
17995,2017,43231,BLUE,LA
17995,2016,57934,GREEN,LA
17990,2016,33870,SILVER,LA
16998,2017,25493,SILVER,LA
16995,2016,40021,SILVER,LA
16995,2017,60943,BLACK,LA
16900,2017,43399,WHITE,LA
15999,2017,55000,BLACK,LA
15998,2016,15343,GRAY,LA
15998,2017,42756,GREEN,LA
15995,2017,53820,WHITE,LA
15995,2016,38287,WHITE,LA
15995,2016,46997,WHITE,LA
15995,2017,58578,BLUE,LA
15995,2017,64258,BLACK,LA
