t,x,x2,x3,average,stdev,,avg x,t,T^2,,fit,,,,,,,,
0,0,0,0.235314,0.078438,0.135858601244088,,0.078438,0,0,,-1.59507748,,,,,,,,
1.000033,1.550044,0.904263,1.160175,1.20482733333333,0.325197859993471,,1.20482733333333,1.000033,1.000066001089,,1.25032468872864,,Regression,,,,,,
2.000108,3.796351,1.900572,1.890015,2.52897933333333,1.09758875206715,,2.52897933333333,2.000108,4.000432011664,,3.98453234229786,,Regression Model,Linear,,,,,
3.000213,7.739174,2.844583,5.465957,5.34990466666667,2.44935835932073,,5.34990466666667,3.000213,9.001278045369,,6.6075006514597,,,,,,,,
4.000314,12.06566,4.229583,8.663774,8.31967233333333,3.92935492864087,,8.31967233333333,4.000314,16.002512098596,,9.11913610356135,,LINEST raw output,,,,,,
5.000393,15.41866,5.296936,13.74481,11.486802,5.42552064590045,,11.486802,5.000393,25.003930154449,,11.5193978348295,,-0.0556498325207479,2.90095993824835,-1.59507748035522,,,,
6.000495,17.99689,7.833726,18.69999,14.8435353333333,6.08084349163546,,14.8435353333333,6.000495,36.005940245025,,13.8083936815445,,0.00811177720850064,0.142909532614678,0.523938741825036,,,,
7.00059,20.45269,11.28204,19.97801,17.23758,5.16310689355741,,17.23758,7.00059,49.0082603481,,15.9860523093971,,0.99461201600487,0.824813109162013,#N/A,,,,
8.000664,20.85902,12.97065,20.54729,18.1256533333333,4.46708388361281,,18.1256533333333,8.000664,64.010624440896,,18.0523479090705,,1384.48631747578,15,#N/A,,,,
9.000747,22.89214,15.45239,21.46586,19.9367966666667,3.94854353194103,,19.9367966666667,9.000747,81.013446558009,,20.0073444684079,,1883.77822861251,10.2047499756826,#N/A,,,,
10.00083,25.78203,17.68958,21.82425,21.7652866666667,4.0465472018294,,21.7652866666667,10.00083,100.0166006889,,21.851022891235,,,,,,,,
11.00089,27.40824,20.3202,23.25875,23.6623966666667,3.56121829351043,,23.6623966666667,11.00089,121.0195807921,,23.583344616595,,Regression Statistics,,,,,,
12.00096,28.41703,21.65515,24.64581,24.9059966666667,3.38844036537953,,24.9059966666667,12.00096,144.0230409216,,25.2043689781723,,R^2,0.99461201600487,,,,,
13.00103,30.16637,23.32542,25.72472,26.4055033333333,3.47091467567748,,26.4055033333333,13.00103,169.0267810609,,26.7140780972519,,Standard Error,0.824813109162013,,,,,
14.00108,32.25415,26.29688,26.78924,28.4467566666667,3.30647661241288,,28.4467566666667,14.00108,196.0302411664,,28.112445120966,,Count of X variables,2,,,,,
15.00113,34.08315,27.1861,27.46668,29.5786433333333,3.9035389733719,,29.5786433333333,15.00113,225.0339012769,,29.3995013544359,,Observations,18,,,,,
16.00117,35.27132,27.98121,28.46046,30.5709966666667,4.07764634550783,,30.5709966666667,16.00117,256.0374413689,,30.5752355973155,,Adjusted R^2,0.993893618138852,,,,,
17.00121,36.05346,29.00559,29.05646,31.3718366666667,4.05448451910145,,31.3718366666667,17.00121,289.0411414641,,31.6396612760443,,,,,,,,
,,,,,,,,,,,,,Analysis of Variance (ANOVA),,,,,,
,,,,,,,,,A,-0.05564983,,,,df,SS,MS,F,Significance F,
,,,,,,,,,B,2.90095994,,,Regression,2,1883.77822861251,941.889114306254,1384.48631747578,9.67603047328929E-18,
,,,,,,,,,C,-1.59507748,,,Residual,15,10.2047499756826,0.680316665045507,,,
,,,,,,,,,,,,,Total,17,1893.98297858819,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Confidence level,0.95,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%
,,,,,,,,,,,,,Intercept,-1.59507748035522,0.523938741825036,-3.04439689800202,0.00819660048081225,-2.71182647351935,-0.478328487191087
,,,,,,,,,,,,,X1,2.90095993824835,0.142909532614678,20.2992752489794,2.5439783882206E-12,2.59635547990063,3.20556439659606
,,,,,,,,,,,,,X2,-0.0556498325207479,0.00811177720850064,-6.86037487104926,5.41068862248188E-06,-0.0729396763654888,-0.0383599886760071
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,X1,X2,Predicted Y,Y,Residual,,
,,,,,,,,,,,,,0,0,-1.59507748035522,0.078438,1.67351548035522,,
,,,,,,,,,,,,,1.000033,1.000066001089,1.2503246841008,1.20482733333333,-0.0454973507674619,,
,,,,,,,,,,,,,2.000108,4.000432011664,3.98453232835507,2.52897933333333,-1.45555299502174,,
,,,,,,,,,,,,,3.000213,9.001278045369,6.6075006231592,5.34990466666667,-1.25759595649254,,
,,,,,,,,,,,,,4.000314,16.002512098596,9.11913605586068,8.31967233333333,-0.799463722527342,,
,,,,,,,,,,,,,5.000393,25.003930154449,11.5193977626867,11.486802,-0.0325957626866913,,
,,,,,,,,,,,,,6.000495,36.005940245025,13.8083935799166,14.8435353333333,1.03514175341673,,
,,,,,,,,,,,,,7.00059,49.0082603481,15.9860521732418,17.23758,1.25152782675819,,
,,,,,,,,,,,,,8.000664,64.010624440896,18.0523477333462,18.1256533333333,0.0733055999871226,,
,,,,,,,,,,,,,9.000747,81.013446558009,20.007344248072,19.9367966666667,-0.0705475814053607,,
,,,,,,,,,,,,,10.00083,100.0166006889,21.8510226212452,21.7652866666667,-0.0857359545785421,,
,,,,,,Y = -0.05t + 2.9 t^2 - 1.5,,,,,,,11.00089,121.0195807921,23.5833442919102,23.6623966666667,0.0790523747564969,,
,,,,,,,,,,,,,12.00096,144.0230409216,25.2043685937498,24.9059966666667,-0.298371927083149,,
,,,,,,,,,,,,,13.00103,169.0267810609,26.7140776480495,26.4055033333333,-0.308574314716161,,
,,,,,,,,,,,,,14.00108,196.0302411664,28.112444601943,28.4467566666667,0.334312064723683,,
,,,,,,,,,,,,,15.00113,225.0339012769,29.3995007605502,29.5786433333333,0.17914257278311,,
,,,,,,,,,,,,,16.00117,256.0374413689,30.575234923526,30.5709966666667,-0.00423825685933821,,
,,,,,,,,,,,,,17.00121,289.0411414641,31.639660517309,31.3718366666667,-0.267823850642348,,
