"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.147833334E-3,-5.298918129E-3,9.350649143E-3,-1.520919263E-2,1.862344526E-2
1.909183327E-2,-3.038473637E-4,3.010416995E-3,-1.439584494E-3,3.350721895E-3
2.903583331E-2,-2.002287637E-3,-5.022420203E-3,1.262940109E-2,1.373810876E-2
3.898083325E-2,5.080492648E-3,-9.636337019E-3,-3.964412212E-4,1.090080558E-2
4.892483330E-2,-1.186153376E-2,6.476859137E-3,1.696511149E-2,2.169010594E-2
5.886883324E-2,-5.281618594E-3,2.007099028E-3,-4.294195175E-3,7.096763606E-3
6.881283328E-2,-1.930855219E-2,-2.958638130E-2,1.156930089E-2,3.717556817E-2
7.875683333E-2,-9.442531513E-3,-2.457544082E-2,4.240108430E-2,4.990957466E-2
8.870083326E-2,7.472709627E-3,-1.532417379E-2,3.730874419E-2,4.101967924E-2
9.864483331E-2,3.101026967E-2,-2.644967672E-2,3.401559234E-2,5.308750084E-2
1.085888332E-1,-1.330467136E-1,1.444642244E-1,-4.253755832E-1,4.685250547E-1
1.185328333E-1,-7.161547762E-2,4.050093108E-2,-9.335898399E-2,1.244387478E-1
1.284768332E-1,5.056418108E-2,-8.223927003E-2,2.037731266E-1,2.254850795E-1
1.384208333E-1,7.147613116E-2,-8.254528955E-2,2.102033097E-1,2.368712594E-1
1.483648333E-1,1.758011524E-2,-1.729574185E-2,6.215707183E-2,6.687080616E-2
1.583088333E-1,-3.396178653E-2,2.059649508E-2,-7.196460664E-2,8.219807275E-2
1.682528333E-1,-8.316382446E-2,7.454828567E-2,-2.569792807E-1,2.801999631E-1
1.781968332E-1,-2.509467129E-2,-2.268171497E-4,-2.720592499E-2,3.701292109E-2
1.881408333E-1,-8.212802676E-4,-1.644371231E-2,4.374594390E-2,4.674160656E-2
1.980858332E-1,3.123641987E-3,-2.733480128E-2,8.715391874E-2,9.139340267E-2
2.080298333E-1,4.042392599E-3,-1.472341920E-2,5.017963529E-2,5.245108015E-2
2.179738333E-1,-4.626969811E-2,6.008442574E-2,-1.189692038E-1,1.410839985E-1
2.279178333E-1,-7.102909782E-2,8.810286703E-2,-1.716578794E-1,2.056056309E-1
2.378618333E-1,1.560766668E-2,8.559280353E-2,-9.860159755E-2,1.314990582E-1
2.478058332E-1,4.211957742E-2,6.133498072E-2,-2.703401685E-2,7.916360735E-2
2.577498333E-1,6.675928279E-3,-4.704724532E-4,8.314155936E-3,1.067307602E-2
2.676938333E-1,2.119364883E-2,-5.133176518E-2,7.628920734E-2,9.436187802E-2
2.776378333E-1,3.448474917E-2,-1.695244405E-2,1.008469284E-1,1.079198140E-1
2.875818333E-1,2.477642287E-2,1.792025874E-2,-2.248195946E-2,3.795319888E-2
2.975258332E-1,-3.698733462E-2,-9.007920764E-2,-8.413032353E-2,1.286865879E-1
3.074697083E-1,-3.675032139E-3,-6.993401940E-2,4.296300173E-2,8.215894624E-2
3.174137083E-1,6.146274695E-2,-5.278815128E-2,2.123925072E-1,2.273209961E-1
3.273577082E-1,2.157660720E-2,-1.032271791E-2,1.039974082E-1,1.067125550E-1
